AssetId|ClientAssetID|LocationSGcode FROM FAR
16141|LAN9603998|C01600330000167100000
16141|LAN9604842|C01600330000167000000
16141|LAN9604843|C01600330000147900000
1669|LAN9604157|C06400030000321400000
1669|LAN9605013|C06400030000321600000
1686|LAN9602674|C06700000000029200011
1713|LAN9598518|C07300080000127700000
1730|LAN9601737|C05500100000153700000
1739|LAN9599404|C01100030000363800000
1741|LAN9599401|C01100000000000700031
1744|LAN9604356|C08500000000020100004
1756|LAN9600727|C01600420000387700000
1756|LAN9603185|C01600420000388500000
1762|LAN9600340|C01600420000590800000
1762|LAN9600644|C01600420000591700000
1762|LAN9601999|C01600420000591900000
1762|LAN9602873|C01600420000591600000
1765|LAN9598650|C01600440000001300000
13011|LAN9600045|C01300130000972000000
1432|LAN9599997|C07800000000029200198
15441|LAN9602312|C01600670000857400000
1564|LAN9602684|C06700250000106900000
1599|LAN9600069|C05500000000017400007
1606|LAN9602800|C01300080000008000000
1997|LAN9598916|C01600020000647800000
1997|LAN9599772|C01600020000648400000
2000|LAN9603147|C01600020000847200000
2000|LAN9603904|C01600020000849500000
2001|LAN9603092|C01600020001054800000
2003|LAN9599717|C01600020000708500000
2003|LAN9603252|C01600020000708600000
2007|LAN9599735|C01600020000538400000
2007|LAN9600597|C01600020000528100000
2007|LAN9601368|C01600020000570300000
2007|LAN9601372|C01600020000537400000
2007|LAN9602241|C01600020000531000000
2007|LAN9603107|C01600020000530300000
2010|LAN9600580|C01600020002695500000
2010|LAN9600581|C01600020001319000000
20155|LAN9603676|C01600340001222300000
2021|LAN9599724|C01600130000056400000
2021|LAN9604928|C01600130000131500000
20231|LAN9604200|C04300010000280000000
2026|LAN9604515|C01600170001179200000
2030|LAN9598633|C01600170001272100000
2030|LAN9599015|C01600170001257800000
2030|LAN9603237|C01600170001257900000
2032|LAN9601375|C01600170001004300000
2032|LAN9603914|C01600170000999900000
2036|LAN9598881|C01600190000039200000
2036|LAN9600574|C01600190000038900000
2038|LAN9598877|C01600190000682700000
20384|LAN9603093|C01600070003780600000
2039|LAN9604466|C01300110000056800000
20405|LAN9600980|C05500030000029800000
20426|LAN9600582|C01600190000484700000
1514|LAN9602771|C00900010000135400000
15141|LAN9604854|C01600630000777800000
1516|LAN9603602|C00900020000021900000
1516|LAN9603603|C00900020000015400000
15161|LAN9604300|C05100110000446500000
15161|LAN9605154|C05100110000446400000
1517|LAN9598564|C00900010000120400000
1517|LAN9600238|C00900010000254700000
1517|LAN9601886|C00900010000102300000
1518|LAN9598563|C00900010000190700000
1518|LAN9599391|C00900010000255700000
1518|LAN9601067|C00900010000255600000
1518|LAN9601068|C00900010000194000000
1518|LAN9601069|C00900010000120800000
1518|LAN9604439|C00900010000193900000
1521|LAN9598562|C00900040000018700000
1522|LAN9603601|C05200010000041200000
1523|LAN9602770|C05200010000024500000
1523|LAN9604430|C05200010000029900000
1525|LAN9599306|C06100020000003800000
15261|LAN9601445|C01600070001171000000
15261|LAN9603202|C01600070001171100000
15284|LAN9602315|C01600650000551100000
1529|LAN9599827|C01600200000155000000
1529|LAN9601444|C01600200000635400000
1529|LAN9604003|C01600200000154500000
1529|LAN9604851|C01600200000154400000
1529|LAN9604852|C01600200000154300000
1530|LAN9600670|C01600070003946200000
15301|LAN9603201|C01600350005063700000
1532|LAN9601443|C01600070005357200000
1532|LAN9603199|C01600070005357100000
1532|LAN9603200|C01600070005357000000
1532|LAN9604850|C01600070005356900000
1534|LAN9600669|C01600070010664900000
1535|LAN9604853|C01600070015448300000
15382|LAN9602317|C01600630003119400000
1541|LAN9598989|C06700090000113700000
1542|LAN9599826|C06700120000261400000
1542|LAN9601442|C06700120000315800000
1542|LAN9601446|C06700120000153000000
1787|LAN9598970|C01600070009120900000
1787|LAN9598971|C01600070006609100000
1787|LAN9600651|C01600070006606600000
1787|LAN9603187|C01600070006608800000
1787|LAN9603188|C01600070006607700000
1787|LAN9603993|C01600070009082800000
1787|LAN9604831|C01600070009121000000
1788|LAN9598966|C01600070006635000000
1788|LAN9598969|C01600070006630400000
1788|LAN9599813|C01600070006630600000
1788|LAN9599814|C01600070006629700000
1788|LAN9601432|C01600070006630800000
1788|LAN9601433|C01600070006630700000
1788|LAN9602300|C01600070006630900000
1788|LAN9602301|C01600070006630500000
1788|LAN9603183|C01600070006632600000
1788|LAN9603184|C01600070006630300000
1788|LAN9603186|C01600070006629600000
1788|LAN9603984|C01600070006631200000
1788|LAN9603985|C01600070006631100000
1788|LAN9604828|C01600070006631000000
1788|LAN9604830|C01600070006629400000
1789|LAN9598963|C01600070006625100000
1789|LAN9598964|C01600070006624700000
1789|LAN9599810|C01600070006625200000
1789|LAN9599811|C01600070006625000000
1789|LAN9600346|C01600070006629200000
1789|LAN9600645|C01600070006629300000
1789|LAN9600646|C01600070006629000000
1789|LAN9601431|C01600070006629900000
1789|LAN9603176|C01600070006630000000
2032|LAN9602238|C01600170001004000000
2032|LAN9602239|C01600170001003800000
2032|LAN9602240|C01600170001003400000
2032|LAN9602246|C01600170001002000000
2032|LAN9602247|C01600170001001200000
2032|LAN9603105|C01600170001003200000
2032|LAN9603108|C01600170001001700000
2032|LAN9603109|C01600170001001300000
2032|LAN9604773|C01600170001001400000
2033|LAN9604763|C01600170001422700000
2034|LAN9601146|C01600190001637100000
2034|LAN9602857|C01600190001763000000
2035|LAN9600575|C01600190000594300000
2035|LAN9603910|C01600190000544100000
