asset_id,asset_type_code,name,func_loc_path,active,latitude,longitude,address,barcode,serial_number,district_code,municipality_code,town_code,suburb_code,facility_type_code,responsible_dept_code,is_owned,EMIS
5b11ba97-26b9-4c79-81f4-45b929505b30,ENVELOPE,Beaufort West Regional Library,2830,TRUE,-32.350032,22.581502,BEACH DRIVE_PACALTSDORP_GEORGE LOCAL MUNICIPALITY LOCAL,NULL,NULL,CENTRALKAR,BEAUFORTWE,BEAUFORTWT,WCP_157,NULL,DTPW,TRUE,NULL
61f85794-07cb-40e9-b948-bac0fc486a7d,ENVELOPE,Beaufort West Hospital and Pathology Lab,14441,TRUE,-32.353224,22.607905,99 VOORTREKKER STREET_BEAUFORT WEST_BEAUFORT WEST LOCAL MUNICIPALITY,NULL,NULL,CENTRALKAR,BEAUFORTWE,BEAUFORTWT,WCP_157,NULL,WCDOH,TRUE,NULL
894fd14c-baed-4bf6-9735-19a75b354544,ENVELOPE,Beaufort West Forensic Pathology Services,30104,TRUE,-32.349806,22.584748,39 Bird street_Beaufort West_Cape Town,NULL,NULL,CENTRALKAR,BEAUFORTWE,BEAUFORTWT,WCP_157,NULL,WCDOH,TRUE,NULL
c328477a-1b45-45c3-b196-e6d05d22bf61,ENVELOPE,Education District Office Central Karoo - Beaufort West,2951,TRUE,-32.350182,22.585349,51 BIRD STREET_BEAUFORT WEST_BEAUFORT WEST LOCAL MUNICIPALITY,NULL,NULL,CENTRALKAR,BEAUFORTWE,BEAUFORTWT,WCP_157,NULL,WCED,TRUE,139007182
e6bbc162-106d-4911-a299-2b04512aefd0,ENVELOPE,Beaufort West Dept. Agriculture District Office,20212,TRUE,-32.349491,22.588842,CHURCH STREET_BEAUFORT WEST_BEAUFORT WEST LOCAL MUNICIPALITY,NULL,NULL,CENTRALKAR,BEAUFORTWE,BEAUFORTWT,WCP_157,NULL,DoA,TRUE,NULL
edd9a621-9666-4bf1-9501-e3719a0abb88,ENVELOPE,Beaufort West Department Of Social Development,2829,TRUE,-32.35282,22.583929,BEACH DRIVE_PACALTSDORP_GEORGE LOCAL MUNICIPALITY LOCAL,NULL,NULL,CENTRALKAR,BEAUFORTWE,BEAUFORTWT,WCP_157,NULL,DTPW,TRUE,NULL
0ec0acb6-4cc9-41a3-8c2d-b604e6424fe3,ENVELOPE,Old Dan De Villiers Girls Hostel (New Shared Office Building),20210,TRUE,-32.357915,22.589276,GRIMBEEK STREET_BEAUFORT WEST_BEAUFORT WEST LOCAL MUNICIPALITY,NULL,NULL,CENTRALKAR,BEAUFORTWE,BEAUFORTWT,WCP_131,NULL,WCED,TRUE,101310227
7fdd8b37-0437-455f-882f-b5e17ef93892,ENVELOPE,Beaufort Wes Voorbereidingskool,2765,TRUE,-32.350988,22.586179,7 DE VILLIERS STREET_BEAUFORT WEST_BEAUFORT WEST LOCAL MUNICIPALITY,NULL,NULL,CENTRALKAR,BEAUFORTWE,BEAUFORTWT,WCP_131,NULL,WCED,TRUE,139208200
8513c909-518d-4716-a0cb-009ac69e8a91,ENVELOPE,Sentraal High School,3624,TRUE,-32.354183,22.591371,101 A HATTINGH STREET_SENTRAAL HIGH SCHOOL_BEAUFORT WEST LOCAL MUNICIPALITY,NULL,NULL,CENTRALKAR,BEAUFORTWE,BEAUFORTWT,WCP_131,NULL,WCED,TRUE,139210225
ab3813f2-72a6-4f74-a4bb-00672b1f9b5a,ENVELOPE,Niko Brummer Primary School,1667,TRUE,-32.354052,22.591747,VOORTREKKERSTRAAT_HOSPITAALHEUWEL_BEAUFORT WEST LOCAL MUNICIPALITY,NULL,NULL,CENTRALKAR,BEAUFORTWE,BEAUFORTWT,WCP_131,NULL,WCED,TRUE,139209238
